core,state,country
Albany,NY,USA
Albuquerque,NM,USA
Alexandria,VA,USA
Allentown,PA,USA
Amarillo,TX,USA
Atlanta,GA,USA
Augusta,ME,USA
Austin,TX,USA
Baltimore,MD,USA
Billings,MT,USA
Birmingham,AL,USA
Bismarck,ND,USA
Bloomington,IL,USA
Boston,MA,USA
Bowling Green,KY,USA
Bristol,NH,USA
Brooklyn,NY,USA
Buffalo,NY,USA
Calgary,AB,CND
Cape Girardeau,MO,USA
Cedar Rapids,IA,USA
Charleston,WV,USA
Charlotte,NC,USA
Chattanooga,TN,USA
Chicago,IL,USA
Cincinnati,OH,USA
Cleveland,OH,USA
Columbia,SC,USA
Columbus,OH,USA
Dallas,TX,USA
Decatur,AL,USA
Denver,CO,USA
Des Moines,IA,USA
Detroit,MI,USA
Dubuque,IA,USA
Duluth,MN,USA
Eau Claire,WI,USA
El Paso,NM,USA
Elizabeth,NJ,USA
Elmira,NY,USA
Erie,PA,USA
Evansville,IN,USA
Fargo,ND,USA
Fayetteville,AR,USA
Flagstaff,AZ,USA
Fresno,CA,USA
Fort Wayne,IN,USA
Fort Worth,TX,USA
Gary,IN,USA
Grand Junction,CO,USA
Grand Rapids,MI,USA
Green Bay,WI,USA
Green River,WY,USA
Greensboro,NC,USA
Greenville,SC,USA
Halifax,NS,CND
Harrisburg,PA,USA
Hartford,CT,USA
Houston,TX,USA
Huntington,OH,USA
Hutchinson,KS,USA
Indianapolis,IN,USA
Jackson,MS,USA
Jacksonville,FL,USA
Jefferson City,MO,USA
Joliet,IL,USA
Joplin,MO,USA
Kansas City,KS,USA
Knoxville,TN,USA
Lakeland,FL,USA
Laredo,TX,USA
Las Vegas,NV,USA
Lexington,KY,USA
Little Rock,AR,USA
London,ON,CND
Los Angeles,CA,USA
Louisville,KY,USA
Lubbock,TX,USA
Macon,GA,USA
Madison,WI,USA
McAllen,TX,USA
Medford,OR,USA
Memphis,TN,USA
Miami,FL,USA
Milwaukee,WI,USA
Minneapolis,MN,USA
Missoula,MT,USA
Mobile,AL,USA
Moncton,NB,CND
Montgomery,AL,USA
Montreal,QC,CND
North Platte,NE,USA
Nashville,TN,USA
New Orleans,LA,USA
Norfolk,VA,USA
North Charleston,SC,USA
Oklahoma City,OK,USA
Omaha,NE,USA
Ontario,CA,USA
Ottawa,ON,CND
Pendleton,OR,USA
Philadelphia,PA,USA
Phoenix,AZ,USA
Pittsburgh,PA,USA
Portland,OR,USA
Prince George,BC,CND
Quebec,QC,CND
Quincy,IL,USA
Raleigh,NC,USA
Rapid City,SD,USA
Regina,SK,CND
Reno,NV,USA
Richmond,VA,USA
Roanoke,VA,USA
Rochester,NY,USA
Rock Island,IL,USA
Rockford,IL,USA
South Bend,IN,USA
Saginaw,MI,USA
Salt Lake City,UT,USA
San Antonio,TX,USA
San Diego,CA,USA
San Francisco,CA,USA
Savannah,GA,USA
Seattle,WA,USA
Shreveport,LA,USA
Sioux Falls,SD,USA
Spokane,WA,USA
Springfield,MA,USA
St. Cloud,MA,USA
St. Johns,NL,CND
St. Louis,IL,USA
Stockton,CA,USA
Sudbury,ON,CND
Syracuse,NY,USA
Tallahassee,FL,USA
Taylorville,IL,USA
Terre Haute,IN,USA
Texarkana,TX,USA
Tifton,GA,USA
Toledo,OH,USA
Toronto,ON,CND
Tucson,AZ,USA
Tulsa,OK,USA
Twin Falls,ID,USA
Vancouver,BC,CND
Wilmington,NC,USA
Winchester,VA,USA
Winnipeg,MB,CND
